#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#wt_mn_flux: weighted mean flux at the center of the line (erg/s/cm^2)
#onesig_err_wt_mn_flux: 1 sigma uncertainty in weighted mean flux at the center of the line (erg/s/cm^2)
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means either the code was unable to fit the line OR the fit was below 3 sigma flux error at that point
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	significance	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u
rcs0327-G	NII]2140	5786.239	2140.0	EMISSION	-0.0803	0.1	-3.41744229108e+17	1.22116565061e+16	1.0706e-18	1.3337e-18	9.13e-20	3.0389e-19	3.2226	1.0	0.0848	5785.918	0.958	1.0204	1.7037	0.0004
rcs0327-G	OIII2320	6277.4312	2321.664	EMISSION	-0.0702	0.1176	-4.14974928369e+17	1.39731833044e+16	8.9276e-19	1.495e-18	-1.2055e-18	5.0282e-18	0.41731	1.0	0.0684	6277.083	1.5196	1.1071	1.7037	0.0007
rcs0327-G	CII2323	6284.326	2324.214	EMISSION	-0.2986	1.8358	-4.74345849347e+17	1.30268503099e+16	3.7936e-18	2.3322e-17	-1.2055e-18	5.0282e-18	0.99422	1.0	0.143	6283.9774	19.6556	2.2526	1.7037	0.0085
rcs0327-G	CII2325b	6287.5409	2325.403	EMISSION	-0.0314	4.9073	-5.40489770942e+17	1.64582370656e+16	3.9819e-19	6.2294e-17	-1.2055e-18	5.0282e-18	0.31895	1.0	0.0233	6287.1922	174.6748	1.4497	1.7037	0.0751
rcs0327-G	CII2325c	6289.4606	2326.113	EMISSION	-0.5515	4.0723	-5.60520847245e+17	1.81514841212e+16	6.9986e-18	5.1674e-17	-1.2055e-18	5.0282e-18	1.6316	1.0	0.5364	6289.1225	3.1739	1.1092	1.7037	0.0014
rcs0327-G	CII2325d	6293.6029	2327.645	EMISSION	-0.3207	6.4847	-5.37043824969e+17	1.40233256297e+16	4.0661e-18	8.2229e-17	-1.2055e-18	5.0282e-18	1.0484	1.0	0.2264	6293.6557	2.7013	1.5279	1.7039	0.0012
rcs0327-G	CII2328	6296.8286	2328.838	EMISSION	-0.7604	10.3163	-5.52332665835e+17	1.43056246508e+16	9.6406e-18	1.3079e-16	-1.2055e-18	5.0282e-18	2.1571	1.0	0.3068	6297.178	17.7933	2.674	1.704	0.0076
rcs0327-G	[OIII]2331	6302.9447	2331.1	EMISSION	-0.3561	3.5703	-4.8929792103e+17	3.53104982679e+16	4.5111e-18	4.5227e-17	-1.2055e-18	5.0282e-18	1.1369	1.0	0.1919	6302.5951	15.2118	2.0018	1.7037	0.0065
rcs0327-G	SiII2335a	6313.8223	2335.123	EMISSION	-0.279	2325.3871	-4.59385828859e+17	1.36207462483e+16	3.5219e-18	2.9356e-14	-1.2055e-18	5.0282e-18	0.94018	1.0	0.1122	6313.4721	5288.737	2.6812	1.7037	2.2649
rcs0327-G	SiII2335b	6314.3577	2335.321	EMISSION	-0.0713	2327.681	-4.21298228753e+17	1.29582311491e+16	8.9951e-19	2.9381e-14	-1.2055e-18	5.0282e-18	0.41865	1.0	0.0287	6314.708	20375.6779	2.6815	1.704	8.725
rcs0327-G	OII2470mid	6681.2864	2471.027	EMISSION	-0.6537	0.1156	-5.99894893989e+17	1.44068093067e+16	7.5382e-18	1.3331e-18	-6.3964e-20	9.4288e-19	8.0627	1.0	0.4351	6681.657	0.2167	1.6206	1.704	0.0001
rcs0327-U	CII1334	3606.6403	1334.5323	ISM	1.7592	0.2221	-7.40213820019e+15	1.27509365772e+16	-3.0897e-17	3.9015e-18	-1.9666e-18	1.168e-18	24.769	1.0	-1.2384	3606.4001	0.1461	1.5316	1.7024	0.0001
